Time(s),Injected cars,Exiting cars,Current cars in system, Exiting people, Avg. v [km/h], Min. v [km/h], Goal: Rox_Goal_E, Goal: Rox_Goal_R, Goal: Rox_Goal_F
315,0,0,266,0, 35.84509,1,0,24,34
316,1,0,267,0, 35.25656,1,0,24,34
317,4,0,271,0, 34.75255,1,0,24,34
318,3,1,274,2, 33.53345,1,0,26,34
319,4,0,277,0, 34.34491,1,0,26,34
320,0,0,277,0, 34.7155,1,0,26,34
321,0,0,277,0, 34.13183,1,0,26,34
322,0,2,277,2, 33.24996,1,0,28,34
323,1,0,276,0, 33.55935,1,0,28,34
324,3,0,279,0, 33.4324,1,0,28,34
325,4,0,283,0, 33.13258,1,0,28,34
326,0,0,283,0, 33.84827,1,0,28,34
327,1,0,284,0, 33.3321,1,0,28,34
328,1,0,285,0, 33.82462,1,0,28,34
329,4,0,289,0, 35.04005,1,0,28,34
330,1,3,290,3, 34.75083,1,0,28,37
331,1,0,288,0, 34.87514,1,0,28,37
332,2,0,290,0, 35.02981,1,0,28,37
333,0,0,290,0, 34.32593,1,0,28,37
334,1,1,291,3, 33.40957,1,0,31,37
335,3,0,293,0, 33.57021,1,0,31,37
336,2,0,295,0, 33.71089,1,0,31,37
337,0,0,295,0, 33.02655,1,0,31,37
338,0,0,295,0, 33.38984,1,0,31,37
339,1,1,296,5, 33.47874,1,0,36,37
340,0,0,295,0, 33.58186,1,0,36,37
341,1,0,296,0, 34.21273,1,0,36,37
342,4,0,300,0, 34.20367,1,0,36,37
343,2,1,302,1, 34.7779,1,0,36,38
344,5,0,306,0, 35.58564,1,0,36,38
345,1,0,307,0, 35.56914,1,0,36,38
346,1,0,308,0, 35.57478,1,0,36,38
347,0,0,308,0, 35.64313,1,0,36,38
348,3,0,311,0, 35.2046,1,0,36,38
349,1,0,312,0, 35.37952,1,0,36,38
350,0,0,312,0, 34.48554,1,0,36,38
351,2,0,314,0, 34.3902,1,0,36,38
352,0,0,314,0, 34.58019,1,0,36,38
353,1,0,315,0, 34.59614,1,0,36,38
354,0,1,315,3, 34.06316,1,0,36,41
355,2,0,316,0, 34.43762,1,0,36,41
356,2,0,318,0, 33.50076,1,0,36,41
357,2,0,320,0, 33.48582,1,0,36,41
358,3,0,323,0, 33.10641,1,0,36,41
359,0,0,323,0, 34.30183,1,0,36,41
360,2,0,325,0, 34.4202,1,0,36,41
361,3,0,328,0, 34.64098,1,0,36,41
362,2,0,330,0, 35.9986,1,0,36,41
363,3,0,333,0, 36.5706,1,0,36,41
364,5,0,338,0, 36.41404,1,0,36,41
365,0,0,338,0, 36.44691,1,0,36,41
366,2,0,340,0, 36.998,1,0,36,41
367,0,0,340,0, 37.54419,1,0,36,41
368,2,0,342,0, 36.59116,1,0,36,41
369,2,0,344,0, 36.38388,1,0,36,41
370,7,1,351,5, 36.92646,1,0,36,46
371,0,0,350,0, 36.79674,1,0,36,46
372,0,0,350,0, 36.77659,1,0,36,46
373,3,0,353,0, 36.06742,1,0,36,46
374,0,0,353,0, 36.34985,1,0,36,46
375,3,0,356,0, 36.80478,1,0,36,46
376,1,0,357,0, 37.04468,1,0,36,46
377,5,0,362,0, 37.06764,1,0,36,46
378,0,0,362,0, 37.65211,1,0,36,46
379,1,0,363,0, 37.16725,1,0,36,46
380,3,0,366,0, 37.33655,1,0,36,46
381,1,0,367,0, 37.46756,1,0,36,46
382,3,0,370,0, 36.94785,1,0,36,46
383,1,0,371,0, 36.41145,1,0,36,46
384,0,0,371,0, 35.79361,1,0,36,46
385,1,0,372,0, 35.72639,1,0,36,46
386,0,0,372,0, 35.93811,1,0,36,46
387,2,0,374,0, 35.28056,1,0,36,46
388,0,1,374,4, 34.61248,1,0,36,50
389,0,1,373,3, 35.48286,1,0,36,53
390,1,0,373,0, 35.30254,1,0,36,53
391,2,0,375,0, 35.65875,1,0,36,53
392,5,0,380,0, 36.33856,1,0,36,53
393,1,0,381,0, 35.50998,1,0,36,53
394,2,0,383,0, 34.82282,1,0,36,53
395,0,0,383,0, 35.11618,1,0,36,53
396,0,1,383,1, 35.24289,1,0,37,53
397,0,0,382,0, 35.50799,1,0,37,53
398,1,0,383,0, 35.36977,1,0,37,53
399,4,0,387,0, 35.87185,1,0,37,53
400,2,0,389,0, 36.43169,1,0,37,53
401,0,0,389,0, 36.84149,1,0,37,53
402,2,0,391,0, 36.46332,1,0,37,53
403,2,0,393,0, 36.45482,1,0,37,53
404,2,0,395,0, 36.27584,1,0,37,53
405,4,0,399,0, 35.42865,1,0,37,53
406,1,0,400,0, 35.40374,1,0,37,53
407,3,0,403,0, 35.0783,1,0,37,53
408,5,0,408,0, 35.43974,1,0,37,53
409,0,0,408,0, 35.8418,1,0,37,53
410,1,0,409,0, 35.14996,1,0,37,53
411,2,0,411,0, 33.73731,1,0,37,53
412,0,0,411,0, 33.03874,1,0,37,53
413,1,0,412,0, 33.22857,1,0,37,53
414,1,0,413,0, 33.88861,1,0,37,53
415,2,0,415,0, 33.63403,1,0,37,53
416,4,1,419,1, 33.55283,1,0,37,54
417,2,2,420,5, 33.70823,1,0,37,59
418,2,0,420,0, 35.29725,1,0,37,59
419,0,0,420,0, 36.04361,1,0,37,59
420,1,0,421,0, 35.76516,1,0,37,59
421,1,0,422,0, 35.05742,1,0,37,59
422,6,0,428,0, 35.62211,1,0,37,59
423,0,0,428,0, 35.31477,1,0,37,59
424,1,0,429,0, 35.00911,1,0,37,59
425,2,1,431,3, 35.04598,1,0,37,62
426,1,1,431,5, 36.00571,1,0,42,62
427,1,0,431,0, 35.82325,1,0,42,62
428,2,1,433,3, 36.05401,1,0,42,65
429,0,3,432,5, 36.04994,1,0,47,65
430,0,0,429,0, 35.51646,1,0,47,65
431,0,0,429,0, 35.2328,1,0,47,65
432,0,0,429,0, 34.923,1,0,47,65
433,0,0,429,0, 34.84583,1,0,47,65
434,1,0,430,0, 35.17266,1,0,47,65
435,0,2,430,6, 34.80107,1,0,48,70
436,3,0,431,0, 35.06351,1,0,48,70
437,0,0,431,0, 34.48156,1,0,48,70
438,0,0,431,0, 34.29743,1,0,48,70
439,1,1,432,2, 33.75188,1,0,50,70
440,2,0,433,0, 34.31623,1,0,50,70
441,2,0,435,0, 34.69136,1,0,50,70
442,0,0,435,0, 34.86601,1,0,50,70
443,3,0,438,0, 34.80782,1,0,50,70
444,3,0,441,0, 34.8268,1,0,50,70
445,1,0,442,0, 34.80348,1,0,50,70
446,0,0,442,0, 35.01618,1,0,50,70
447,2,0,444,0, 35.07521,1,0,50,70
448,3,0,447,0, 35.4533,1,0,50,70
449,2,0,449,0, 35.71806,1,0,50,70
450,3,2,452,5, 36.4544,1,0,55,70
451,1,1,451,4, 36.8265,1,0,55,74
452,0,0,450,0, 36.68912,1,0,55,74
453,1,0,451,0, 36.93921,1,0,55,74
454,2,0,453,0, 37.45976,1,0,55,74
455,2,1,455,2, 37.4995,1,0,57,74
456,3,0,457,0, 37.7279,1,0,57,74
457,0,0,457,0, 37.46278,1,0,57,74
458,2,0,459,0, 37.14833,1,0,57,74
459,1,0,460,0, 37.52793,1,0,57,74
460,2,0,462,0, 37.14,1,0,57,74
461,0,0,462,0, 37.10118,1,0,57,74
462,2,0,464,0, 36.91026,1,0,57,74
463,1,1,465,1, 36.13181,1,0,57,75
464,0,2,464,2, 35.61774,1,0,57,77
465,3,2,465,6, 35.24896,1,0,60,80
466,7,0,470,0, 35.3858,1,0,60,80
467,0,0,470,0, 34.96195,1,0,60,80
468,0,0,470,0, 35.03699,1,0,60,80
469,1,0,471,0, 34.79347,1,0,60,80
470,1,0,472,0, 35.15162,1,0,60,80
471,2,0,474,0, 35.38306,1,0,60,80
472,5,0,479,0, 35.01883,1,0,60,80
473,1,0,480,0, 34.82818,1,0,60,80
474,3,0,483,0, 35.20988,1,0,60,80
475,1,0,484,0, 35.75939,1,0,60,80
476,0,0,484,0, 35.71618,1,0,60,80
477,1,0,485,0, 35.95221,1,0,60,80
478,4,0,489,0, 36.174,1,0,60,80
479,0,0,489,0, 36.57513,1,0,60,80
480,1,0,490,0, 36.65479,1,0,60,80
481,1,0,491,0, 36.56549,1,0,60,80
482,2,1,493,1, 35.94965,1,0,61,80
483,1,0,493,0, 35.20579,1,0,61,80
484,1,0,494,0, 35.32624,1,0,61,80
485,5,0,499,0, 35.74676,1,0,61,80
486,1,0,500,0, 35.64449,1,0,61,80
487,6,0,506,0, 35.38492,1,0,61,80
488,2,0,508,0, 34.78421,1,0,61,80
489,2,1,510,1, 34.7595,1,0,61,81
490,3,0,512,0, 35.17051,1,0,61,81
491,0,1,512,5, 36.16964,1,0,66,81
492,0,0,511,0, 36.27699,1,0,66,81
