Time(s),Total cars injected, Total cars arrived,Current cars in system, Exiting people,Total Sumo cars injected,Total Sumo cars arrived
4551,934,897,37,2296,0,0
4552,934,897,37,2296,0,0
4553,934,897,37,2296,0,0
4554,934,897,37,2296,0,0
4555,934,897,37,2296,0,0
4556,934,897,37,2296,0,0
4557,934,897,37,2296,0,0
4558,934,897,37,2296,0,0
4559,934,897,37,2296,0,0
4560,934,897,37,2296,0,0
4561,934,897,37,2296,0,0
4562,934,897,37,2296,0,0
4563,934,897,37,2296,0,0
4564,934,897,37,2296,0,0
4565,934,897,37,2296,0,0
4566,934,897,37,2296,0,0
4567,934,897,37,2296,0,0
4568,934,897,37,2296,0,0
4569,934,897,37,2296,0,0
4570,935,897,38,2296,0,0
4571,936,897,39,2296,0,0
4572,936,897,39,2296,0,0
4573,936,897,39,2296,0,0
4574,936,897,39,2296,0,0
4575,936,897,39,2296,0,0
4576,936,897,39,2296,0,0
4577,936,897,39,2296,0,0
4578,936,897,39,2296,0,0
4579,936,897,39,2296,0,0
4580,936,897,39,2296,0,0
4581,936,897,39,2296,0,0
4582,936,897,39,2296,0,0
4583,936,897,39,2296,0,0
4584,936,897,39,2296,0,0
4585,936,897,39,2296,0,0
4586,936,897,39,2296,0,0
4587,936,897,39,2296,0,0
4588,936,897,39,2296,0,0
4589,936,897,39,2296,0,0
4590,936,897,39,2296,0,0
4591,936,897,39,2296,0,0
4592,936,898,38,2297,0,0
4593,936,898,38,2297,0,0
4594,936,898,38,2297,0,0
4595,936,898,38,2297,0,0
4596,936,898,38,2297,0,0
4597,936,898,38,2297,0,0
4598,936,898,38,2297,0,0
4599,936,898,38,2297,0,0
4600,936,898,38,2297,0,0
4601,936,898,38,2297,0,0
4602,936,898,38,2297,0,0
4603,936,898,38,2297,0,0
4604,936,898,38,2297,0,0
4605,937,898,39,2297,0,0
4606,937,898,39,2297,0,0
4607,937,898,39,2297,0,0
4608,937,898,39,2297,0,0
4609,937,898,39,2297,0,0
4610,937,898,39,2297,0,0
4611,937,898,39,2297,0,0
4612,937,898,39,2297,0,0
4613,938,898,40,2297,0,0
4614,938,898,40,2297,0,0
4615,939,898,41,2297,0,0
4616,939,898,41,2297,0,0
4617,939,898,41,2297,0,0
4618,939,898,41,2297,0,0
4619,939,898,41,2297,0,0
4620,939,898,41,2297,0,0
4621,939,898,41,2297,0,0
4622,939,898,41,2297,0,0
4623,939,898,41,2297,0,0
4624,939,898,41,2297,0,0
4625,939,898,41,2297,0,0
4626,939,898,41,2297,0,0
4627,939,898,41,2297,0,0
4628,939,898,41,2297,0,0
4629,939,898,41,2297,0,0
4630,939,898,41,2297,0,0
4631,939,898,41,2297,0,0
4632,939,898,41,2297,0,0
4633,939,898,41,2297,0,0
4634,939,898,41,2297,0,0
4635,939,898,41,2297,0,0
4636,939,898,41,2297,0,0
4637,939,898,41,2297,0,0
4638,939,898,41,2297,0,0
4639,939,898,41,2297,0,0
4640,939,898,41,2297,0,0
4641,939,898,41,2297,0,0
4642,939,898,41,2297,0,0
4643,939,899,40,2299,0,0
4644,939,899,40,2299,0,0
4645,939,899,40,2299,0,0
4646,939,899,40,2299,0,0
4647,939,899,40,2299,0,0
4648,939,899,40,2299,0,0
4649,939,899,40,2299,0,0
4650,939,899,40,2299,0,0
4651,939,899,40,2299,0,0
4652,939,899,40,2299,0,0
4653,939,899,40,2299,0,0
4654,939,899,40,2299,0,0
4655,939,899,40,2299,0,0
4656,939,899,40,2299,0,0
4657,939,899,40,2299,0,0
4658,939,899,40,2299,0,0
4659,939,899,40,2299,0,0
4660,939,899,40,2299,0,0
4661,939,899,40,2299,0,0
4662,939,900,39,2303,0,0
4663,939,900,39,2303,0,0
4664,939,900,39,2303,0,0
4665,939,900,39,2303,0,0
4666,939,900,39,2303,0,0
4667,939,900,39,2303,0,0
4668,939,900,39,2303,0,0
4669,939,900,39,2303,0,0
4670,939,900,39,2303,0,0
4671,939,900,39,2303,0,0
4672,939,900,39,2303,0,0
4673,939,900,39,2303,0,0
4674,939,900,39,2303,0,0
4675,939,900,39,2303,0,0
4676,939,900,39,2303,0,0
4677,939,900,39,2303,0,0
4678,939,900,39,2303,0,0
4679,939,900,39,2303,0,0
4680,939,900,39,2303,0,0
4681,939,900,39,2303,0,0
4682,939,900,39,2303,0,0
4683,939,900,39,2303,0,0
4684,939,900,39,2303,0,0
4685,939,900,39,2303,0,0
4686,939,900,39,2303,0,0
4687,939,900,39,2303,0,0
4688,939,900,39,2303,0,0
4689,939,900,39,2303,0,0
4690,939,900,39,2303,0,0
4691,939,900,39,2303,0,0
4692,939,901,38,2306,0,0
4693,939,901,38,2306,0,0
4694,939,901,38,2306,0,0
4695,939,901,38,2306,0,0
4696,939,901,38,2306,0,0
4697,939,901,38,2306,0,0
4698,939,901,38,2306,0,0
4699,939,901,38,2306,0,0
4700,939,901,38,2306,0,0
4701,939,901,38,2306,0,0
4702,939,901,38,2306,0,0
4703,939,901,38,2306,0,0
4704,939,901,38,2306,0,0
4705,939,901,38,2306,0,0
4706,939,901,38,2306,0,0
4707,939,901,38,2306,0,0
4708,939,901,38,2306,0,0
4709,939,901,38,2306,0,0
4710,940,901,39,2306,0,0
4711,940,901,39,2306,0,0
4712,941,901,40,2306,0,0
4713,941,901,40,2306,0,0
4714,941,901,40,2306,0,0
4715,941,901,40,2306,0,0
4716,941,901,40,2306,0,0
4717,941,901,40,2306,0,0
4718,941,901,40,2306,0,0
4719,941,901,40,2306,0,0
4720,941,901,40,2306,0,0
4721,941,901,40,2306,0,0
4722,941,901,40,2306,0,0
4723,941,901,40,2306,0,0
4724,942,901,41,2306,0,0
4725,942,901,41,2306,0,0
4726,942,901,41,2306,0,0
4727,942,901,41,2306,0,0
4728,942,901,41,2306,0,0
4729,942,901,41,2306,0,0
4730,942,901,41,2306,0,0
4731,942,901,41,2306,0,0
4732,942,901,41,2306,0,0
4733,942,901,41,2306,0,0
4734,943,901,42,2306,0,0
4735,943,901,42,2306,0,0
4736,944,901,43,2306,0,0
4737,944,901,43,2306,0,0
4738,944,901,43,2306,0,0
4739,944,901,43,2306,0,0
4740,944,901,43,2306,0,0
4741,944,901,43,2306,0,0
4742,944,901,43,2306,0,0
4743,944,901,43,2306,0,0
4744,944,901,43,2306,0,0
4745,944,901,43,2306,0,0
4746,944,901,43,2306,0,0
4747,944,901,43,2306,0,0
4748,944,901,43,2306,0,0
4749,944,901,43,2306,0,0
4750,944,901,43,2306,0,0
4751,944,901,43,2306,0,0
4752,944,901,43,2306,0,0
4753,944,901,43,2306,0,0
4754,944,901,43,2306,0,0
4755,944,901,43,2306,0,0
4756,944,901,43,2306,0,0
4757,944,901,43,2306,0,0
4758,944,901,43,2306,0,0
4759,944,901,43,2306,0,0
4760,944,901,43,2306,0,0
4761,944,901,43,2306,0,0
4762,944,901,43,2306,0,0
4763,944,901,43,2306,0,0
