Time(s),Households left,People left,Total households responded, Total people responded,Total households reached car,Total people reached car,Total cars activated,Avg. walking dist.
2270,156,398,845,2156,844,2153,844,49.18999
2271,156,398,845,2156,844,2153,844,49.18999
2272,156,398,845,2156,844,2153,844,49.18999
2273,156,398,845,2156,844,2153,844,49.18999
2274,156,398,845,2156,844,2153,844,49.18999
2275,156,398,845,2156,844,2153,844,49.18999
2276,156,398,845,2156,844,2153,844,49.18999
2277,156,398,845,2156,844,2153,844,49.18999
2278,156,398,845,2156,844,2153,844,49.18999
2279,156,398,845,2156,844,2153,844,49.18999
2280,156,398,845,2156,844,2153,844,49.18999
2281,156,398,845,2156,844,2153,844,49.18999
2282,156,398,845,2156,844,2153,844,49.18999
2283,156,398,845,2156,844,2153,844,49.18999
2284,156,398,845,2156,844,2153,844,49.18999
2285,156,398,845,2156,844,2153,844,49.18999
2286,156,398,845,2156,844,2153,844,49.18999
2287,156,398,846,2158,844,2153,844,49.18999
2288,156,398,846,2158,844,2153,844,49.18999
2289,156,398,846,2158,844,2153,844,49.18999
2290,156,398,846,2158,844,2153,844,49.18999
2291,156,398,846,2158,844,2153,844,49.18999
2292,156,398,846,2158,844,2153,844,49.18999
2293,156,398,846,2158,844,2153,844,49.18999
2294,156,398,846,2158,844,2153,844,49.18999
2295,156,398,846,2158,844,2153,844,49.18999
2296,156,398,846,2158,844,2153,844,49.18999
2297,156,398,846,2158,844,2153,844,49.18999
2298,156,398,846,2158,844,2153,844,49.18999
2299,156,398,846,2158,844,2153,844,49.18999
2300,156,398,846,2158,844,2153,844,49.18999
2301,156,398,846,2158,844,2153,844,49.18999
2302,156,398,846,2158,844,2153,844,49.18999
2303,156,398,847,2159,844,2153,844,49.18999
2304,156,398,847,2159,844,2153,844,49.18999
2305,156,398,847,2159,844,2153,844,49.18999
2306,156,398,848,2160,844,2153,844,49.18999
2307,156,398,848,2160,844,2153,844,49.18999
2308,156,398,848,2160,844,2153,844,49.18999
2309,156,398,848,2160,844,2153,844,49.18999
2310,156,398,848,2160,844,2153,844,49.18999
2311,156,398,848,2160,844,2153,844,49.18999
2312,156,398,848,2160,844,2153,844,49.18999
2313,156,398,848,2160,844,2153,844,49.18999
2314,156,398,848,2160,844,2153,844,49.18999
2315,156,398,848,2160,844,2153,844,49.18999
2316,156,398,848,2160,844,2153,844,49.18999
2317,155,395,848,2160,845,2156,845,49.18999
2318,155,395,848,2160,845,2156,845,49.18738
2319,155,395,849,2161,845,2156,845,49.18738
2320,155,395,850,2164,845,2156,845,49.18738
2321,155,395,850,2164,845,2156,845,49.18738
2322,155,395,850,2164,845,2156,845,49.18738
2323,155,395,851,2167,845,2156,845,49.18738
